image_path,fever,nodules,mouth_sores,nasal_discharge,cough,swollen_lymph,disease
lumpy/img1235.jpg,1,1,0,1,0,0,LSD
lumpy/IMG-20220830-WA0085_jpg.rf.39eadf60a5c8b86e06ed57d84b5b56e0.jpg,1,1,0,1,0,0,LSD
lumpy/img1367.jpg,1,1,0,1,0,0,LSD
lumpy/IMG_Lumpy_skin_disease_i_2_1_MAA9R3GQ_jpg.rf.c5a06cbc4336d8bdc29d50c8ead8fddc.jpg,1,1,0,1,0,0,LSD
lumpy/Screenshot_2022_0901_190038_png_jpg.rf.e1e27f956532a34d37d57ba4132cbf4c.jpg,1,1,0,1,0,0,LSD
lumpy/LSD-83-_png_jpg.rf.ff3da07149b6e07e2a9bf67b960b5f6d.jpg,1,1,0,1,0,0,LSD
lumpy/img1371.jpg,1,1,0,1,0,0,LSD
lumpy/Screenshot_2022_0901_190634_png_jpg.rf.5f2af884302a256c0ea101111eeb7f59.jpg,1,1,0,1,0,0,LSD
lumpy/img1016.jpg,1,1,0,1,0,0,LSD
lumpy/img1100.jpg,1,1,0,1,0,0,LSD
lumpy/FB_IMG_1662698182041_jpg.rf.a276f3588cca3efe4a1015c5d985b5d4.jpg,1,1,0,1,0,0,LSD
lumpy/IMG-20220830-WA0107_jpg.rf.10c730d8ec59a17f8bcffe7cf2503583.jpg,1,1,0,1,0,0,LSD
lumpy/IMG-20220830-WA0064_jpg.rf.e7d159eb8137e57f0b897d528cf60c4d.jpg,1,1,0,1,0,0,LSD
lumpy/img1033.jpg,1,1,0,1,0,0,LSD
lumpy/IMG-20220830-WA0232_jpg.rf.e4af0e74b16b9f6eabe3ef5c0f734f39.jpg,1,1,0,1,0,0,LSD
lumpy/img1765_jpg.rf.cc1ba4878a6b23209215ea91be628309.jpg,1,1,0,1,0,0,LSD
lumpy/Lumpy_Skin_121_png.rf.1beab04d94bc2d912c86b7fb79af7d94.jpg,1,1,0,1,0,0,LSD
lumpy/IMG-20220830-WA0190_jpg.rf.3934c0f0faff44cac87b42a25df66a1a.jpg,1,1,0,1,0,0,LSD
lumpy/img1242.jpg,1,1,0,1,0,0,LSD
