image_path,fever,nodules,mouth_sores,nasal_discharge,cough,swollen_lymph,disease
lumpy/LS-27_JPG_jpg.rf.1fcbb72491ba51bc049fd8d346a10e14.jpg,1,1,0,0,1,0,LSD
lumpy/IMG-20220903-WA0026_jpg.rf.13d8c27f7384e69a28d0e2a32b87a225.jpg,1,1,0,0,1,0,LSD
lumpy/img1283.jpg,1,1,0,0,1,0,LSD
lumpy/LS-29_JPG_jpg.rf.cc5276932a4b38d871d1738855f1f932.jpg,1,1,0,0,1,0,LSD
lumpy/25_jpg.rf.809fef90f111fac089ddb901f6da5743.jpg,1,1,0,0,1,0,LSD
lumpy/IMG-20220830-WA0192_jpg.rf.d48b9cbac2133e56ed10129103f36799.jpg,1,1,0,0,1,0,LSD
lumpy/images_jpg.rf.ad6bb3efe1450498debd67bc4d0f8011.jpg,1,1,0,0,1,0,LSD
lumpy/LSD-test_jpg.rf.9752f101a79fb9bb54a798dc20388c7a.jpg,1,1,0,0,1,0,LSD
lumpy/IMG-20220901-WA0055_jpg.rf.56f0bc9184cea8635af4467b3011335d.jpg,1,1,0,0,1,0,LSD
lumpy/vlcsnap-2022-09-13-14h36m35s495_png_jpg.rf.54280d5febdd6adc74b0f64fe66c0131.jpg,1,1,0,0,1,0,LSD
lumpy/IMG_20220830_081329_jpg.rf.e78ed768726a2aa8b42043b661a0e1fb.jpg,1,1,0,0,1,0,LSD
lumpy/IMG_20220830_105903_jpg.rf.a240b524de9b891c8d0c9b5747b4ffb5.jpg,1,1,0,0,1,0,LSD
lumpy/IMG_20220906_174657_jpg.rf.b457df5bb8e6ac2bbc28f28efd5424c4.jpg,1,1,0,0,1,0,LSD
lumpy/21_jpg.rf.85a670cd532d565ad27f9bdd383f9aa8.jpg,1,1,0,0,1,0,LSD
lumpy/IMG-20220903-WA0026_jpg.rf.b528ea117ba575c08069cc5e9b395d65.jpg,1,1,0,0,1,0,LSD
lumpy/img1248.jpg,1,1,0,0,1,0,LSD
